Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;39;40;5;6;34;35;4
00000_00001.ppm;43;44;5;6;38;39;4
00000_00002.ppm;43;44;5;6;38;39;4
00000_00003.ppm;44;43;6;5;39;38;4
00000_00004.ppm;43;43;5;5;38;38;4
00000_00005.ppm;44;44;5;5;39;39;4
00000_00006.ppm;44;44;5;5;39;39;4
00000_00007.ppm;46;47;5;6;41;42;4
00000_00008.ppm;47;46;6;5;42;41;4
00000_00009.ppm;47;46;6;5;42;41;4
00000_00010.ppm;48;49;5;6;43;44;4
00000_00011.ppm;54;54;6;6;49;49;4
00000_00012.ppm;54;54;6;6;49;49;4
00000_00013.ppm;53;53;5;5;48;48;4
00000_00014.ppm;53;53;5;5;48;48;4
00000_00015.ppm;56;56;6;6;51;51;4
00000_00016.ppm;56;56;6;6;51;51;4
00000_00017.ppm;55;56;5;6;50;51;4
00000_00018.ppm;56;55;6;5;51;50;4
00000_00019.ppm;59;60;5;6;54;55;4
00000_00020.ppm;64;64;5;5;59;59;4
00000_00021.ppm;64;64;5;5;59;59;4
00000_00022.ppm;68;68;6;6;62;62;4
00000_00023.ppm;72;71;7;6;66;65;4
00000_00024.ppm;71;72;6;7;65;66;4
00000_00025.ppm;80;72;8;6;73;66;4
00000_00026.ppm;83;79;8;7;76;72;4
00000_00027.ppm;85;84;8;8;78;77;4
00000_00028.ppm;85;83;7;8;78;76;4
00000_00029.ppm;92;88;8;7;85;81;4
00001_00000.ppm;38;39;5;6;33;34;4
00001_00001.ppm;39;40;5;6;34;35;4
00001_00002.ppm;39;39;6;6;34;34;4
00001_00003.ppm;40;42;5;5;35;37;4
00001_00004.ppm;42;42;6;6;37;37;4
00001_00005.ppm;42;42;5;5;37;37;4
00001_00006.ppm;42;42;5;5;37;37;4
00001_00007.ppm;42;42;5;5;37;37;4
00001_00008.ppm;43;46;5;6;38;41;4
00001_00009.ppm;44;43;6;5;39;38;4
00001_00010.ppm;44;44;6;6;39;39;4
00001_00011.ppm;46;46;6;6;41;41;4
00001_00012.ppm;46;47;5;6;41;42;4
00001_00013.ppm;47;48;5;5;42;43;4
00001_00014.ppm;47;48;5;5;42;43;4
00001_00015.ppm;49;49;6;6;44;44;4
00001_00016.ppm;49;50;5;6;44;45;4
00001_00017.ppm;50;50;5;5;45;45;4
00001_00018.ppm;51;52;5;6;46;47;4
00001_00019.ppm;52;52;6;6;47;47;4
00001_00020.ppm;53;54;6;5;48;49;4
00001_00021.ppm;54;57;6;6;49;52;4
00001_00022.ppm;56;58;6;6;51;53;4
00001_00023.ppm;56;57;6;6;51;52;4
00001_00024.ppm;57;59;5;5;52;54;4
00001_00025.ppm;58;60;5;6;53;55;4
00001_00026.ppm;60;63;5;6;55;58;4
00001_00027.ppm;62;67;5;6;57;61;4
00001_00028.ppm;68;70;6;6;62;64;4
00001_00029.ppm;70;72;7;7;64;66;4
00002_00000.ppm;33;32;6;5;28;27;4
00002_00001.ppm;34;32;6;5;28;27;4
00002_00002.ppm;33;34;5;6;28;29;4
00002_00003.ppm;34;33;6;5;29;28;4
00002_00004.ppm;34;33;6;5;29;28;4
00002_00005.ppm;33;33;5;5;28;28;4
00002_00006.ppm;35;35;6;6;30;30;4
00002_00007.ppm;35;36;6;6;30;30;4
00002_00008.ppm;36;37;6;6;31;31;4
00002_00009.ppm;36;36;6;5;31;31;4
00002_00010.ppm;38;38;6;5;33;33;4
00002_00011.ppm;39;39;6;5;34;34;4
00002_00012.ppm;40;42;5;6;34;37;4
00002_00013.ppm;43;43;6;6;37;38;4
00002_00014.ppm;42;43;5;5;36;37;4
00002_00015.ppm;43;42;6;5;37;37;4
00002_00016.ppm;44;45;6;6;39;40;4
00002_00017.ppm;47;47;6;5;42;41;4
00002_00018.ppm;49;49;6;6;44;44;4
00002_00019.ppm;51;53;6;6;46;47;4
00002_00020.ppm;52;54;6;6;47;49;4
00002_00021.ppm;53;55;5;6;48;50;4
00002_00022.ppm;57;58;5;5;51;53;4
00002_00023.ppm;61;62;6;6;56;57;4
00002_00024.ppm;63;64;6;5;58;59;4
00002_00025.ppm;70;71;6;7;64;65;4
00002_00026.ppm;76;76;7;6;70;70;4
00002_00027.ppm;84;85;7;7;77;78;4
00002_00028.ppm;93;92;9;8;85;84;4
00002_00029.ppm;100;101;8;9;92;93;4
00003_00000.ppm;29;27;6;5;24;22;4
00003_00001.ppm;28;28;5;5;23;23;4
00003_00002.ppm;29;28;6;5;24;23;4
00003_00003.ppm;28;28;5;5;23;23;4
00003_00004.ppm;31;30;6;6;25;25;4
00003_00005.ppm;31;30;5;5;25;25;4
00003_00006.ppm;32;31;6;5;27;25;4
00003_00007.ppm;32;31;6;6;27;26;4
00003_00008.ppm;32;32;5;6;26;26;4
00003_00009.ppm;32;32;5;6;27;27;4
00003_00010.ppm;35;33;6;5;30;28;4
00003_00011.ppm;35;34;6;5;30;28;4
00003_00012.ppm;36;35;6;5;31;29;4
00003_00013.ppm;35;35;6;6;30;30;4
00003_00014.ppm;35;36;5;6;30;31;4
00003_00015.ppm;38;36;6;5;32;31;4
00003_00016.ppm;38;38;5;6;32;33;4
00003_00017.ppm;39;37;5;5;34;32;4
00003_00018.ppm;42;39;6;5;37;34;4
00003_00019.ppm;41;41;5;6;36;36;4
00003_00020.ppm;43;43;5;6;38;38;4
00003_00021.ppm;45;45;5;5;40;39;4
00003_00022.ppm;46;48;5;5;41;42;4
00003_00023.ppm;51;52;6;6;46;47;4
00003_00024.ppm;55;54;6;5;50;49;4
00003_00025.ppm;60;60;6;5;55;54;4
00003_00026.ppm;64;63;6;5;59;58;4
00003_00027.ppm;73;74;6;6;67;68;4
00003_00028.ppm;81;83;7;7;74;76;4
00003_00029.ppm;94;96;9;8;86;88;4
