Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;32;34;5;5;27;29;40
00000_00001.ppm;34;34;6;5;29;29;40
00000_00002.ppm;35;34;5;5;30;29;40
00000_00003.ppm;37;35;6;6;31;30;40
00000_00004.ppm;38;35;6;6;33;30;40
00000_00005.ppm;38;36;5;6;33;31;40
00000_00006.ppm;40;38;5;6;34;32;40
00000_00007.ppm;42;39;6;6;37;34;40
00000_00008.ppm;42;40;5;6;37;35;40
00000_00009.ppm;44;40;6;5;39;35;40
00000_00010.ppm;45;41;6;6;40;36;40
00000_00011.ppm;45;42;5;6;40;37;40
00000_00012.ppm;46;42;5;5;40;36;40
00000_00013.ppm;47;42;6;5;42;37;40
00000_00014.ppm;47;45;5;6;42;39;40
00000_00015.ppm;49;46;6;6;44;41;40
00000_00016.ppm;49;47;5;6;44;42;40
00000_00017.ppm;51;49;6;6;46;43;40
00000_00018.ppm;51;49;5;6;46;44;40
00000_00019.ppm;52;49;5;5;47;44;40
00000_00020.ppm;52;52;5;6;47;46;40
00000_00021.ppm;52;52;6;6;47;47;40
00000_00022.ppm;55;55;6;6;49;49;40
00000_00023.ppm;55;56;5;6;50;51;40
00000_00024.ppm;59;58;6;6;53;53;40
00000_00025.ppm;60;61;5;6;55;56;40
00000_00026.ppm;63;63;5;6;58;58;40
00000_00027.ppm;68;64;7;5;62;59;40
00000_00028.ppm;70;68;7;6;63;62;40
00000_00029.ppm;71;72;7;7;65;66;40
00001_00000.ppm;29;29;6;6;24;24;40
00001_00001.ppm;30;30;6;6;24;24;40
00001_00002.ppm;30;30;5;5;24;24;40
00001_00003.ppm;30;32;5;6;25;26;40
00001_00004.ppm;32;31;6;5;27;26;40
00001_00005.ppm;32;33;5;6;27;28;40
00001_00006.ppm;34;35;5;6;28;29;40
00001_00007.ppm;35;36;6;6;30;30;40
00001_00008.ppm;36;36;6;6;31;31;40
00001_00009.ppm;38;38;6;6;32;32;40
00001_00010.ppm;38;38;5;5;33;33;40
00001_00011.ppm;41;41;6;6;35;35;40
00001_00012.ppm;42;41;6;5;36;35;40
00001_00013.ppm;42;44;5;6;37;38;40
00001_00014.ppm;46;44;6;5;40;39;40
00001_00015.ppm;47;47;6;6;42;42;40
00001_00016.ppm;49;47;6;5;43;42;40
00001_00017.ppm;50;50;5;6;44;45;40
00001_00018.ppm;51;52;5;6;46;47;40
00001_00019.ppm;53;53;5;5;48;48;40
00001_00020.ppm;55;55;5;5;50;50;40
00001_00021.ppm;58;57;6;5;53;52;40
00001_00022.ppm;60;61;6;6;55;55;40
00001_00023.ppm;62;62;6;5;57;56;40
00001_00024.ppm;65;66;5;6;59;60;40
00001_00025.ppm;71;71;7;7;65;65;40
00001_00026.ppm;75;75;7;7;69;69;40
00001_00027.ppm;80;80;7;7;72;72;40
00001_00028.ppm;86;86;7;7;79;79;40
00001_00029.ppm;95;94;8;8;86;86;40
00002_00000.ppm;33;32;6;5;28;27;40
00002_00001.ppm;34;32;6;5;28;27;40
00002_00002.ppm;34;33;6;5;29;28;40
00002_00003.ppm;34;34;5;5;29;29;40
00002_00004.ppm;36;35;6;5;30;29;40
00002_00005.ppm;35;36;5;6;30;31;40
00002_00006.ppm;36;35;6;5;31;30;40
00002_00007.ppm;35;35;5;5;30;30;40
00002_00008.ppm;37;36;6;5;31;30;40
00002_00009.ppm;38;36;6;5;32;31;40
00002_00010.ppm;38;39;5;6;32;33;40
00002_00011.ppm;38;40;5;6;33;34;40
00002_00012.ppm;40;40;5;5;35;35;40
00002_00013.ppm;42;43;5;6;37;38;40
00002_00014.ppm;43;45;5;6;38;39;40
00002_00015.ppm;46;45;6;5;41;40;40
00002_00016.ppm;47;48;5;6;42;43;40
00002_00017.ppm;50;49;6;5;45;44;40
00002_00018.ppm;52;51;6;5;47;46;40
00002_00019.ppm;53;53;6;6;48;48;40
00002_00020.ppm;56;55;6;5;50;49;40
00002_00021.ppm;58;58;5;5;53;53;40
00002_00022.ppm;62;62;5;5;56;56;40
00002_00023.ppm;68;68;7;7;62;62;40
00002_00024.ppm;74;74;6;6;68;68;40
00002_00025.ppm;83;83;7;7;76;76;40
00002_00026.ppm;93;95;9;9;85;86;40
00002_00027.ppm;100;104;8;9;91;94;40
00002_00028.ppm;109;111;9;9;100;102;40
00002_00029.ppm;128;131;11;12;116;120;40
00003_00000.ppm;37;37;6;6;32;32;40
00003_00001.ppm;37;38;5;6;32;33;40
00003_00002.ppm;39;38;6;6;33;33;40
00003_00003.ppm;38;38;5;5;33;33;40
00003_00004.ppm;39;38;5;5;33;33;40
00003_00005.ppm;39;40;5;6;33;34;40
00003_00006.ppm;40;41;5;6;35;36;40
00003_00007.ppm;42;42;6;6;37;37;40
00003_00008.ppm;43;43;5;5;37;38;40
00003_00009.ppm;45;45;6;6;40;39;40
00003_00010.ppm;47;46;6;6;41;40;40
00003_00011.ppm;49;47;6;5;43;41;40
00003_00012.ppm;49;48;5;5;44;43;40
00003_00013.ppm;51;50;5;5;45;44;40
00003_00014.ppm;53;52;5;5;48;47;40
00003_00015.ppm;57;56;5;6;51;50;40
00003_00016.ppm;57;56;5;6;52;51;40
00003_00017.ppm;60;58;6;6;55;53;40
00003_00018.ppm;61;59;6;6;56;54;40
00003_00019.ppm;64;61;6;6;58;55;40
00003_00020.ppm;68;63;7;6;62;58;40
00003_00021.ppm;69;64;6;5;63;59;40
00003_00022.ppm;74;70;6;6;67;64;40
00003_00023.ppm;81;77;8;7;74;70;40
00003_00024.ppm;85;81;8;7;78;74;40
00003_00025.ppm;88;86;7;8;81;79;40
00003_00026.ppm;93;88;8;7;84;80;40
00003_00027.ppm;98;98;8;9;90;89;40
00003_00028.ppm;110;107;9;9;100;98;40
00003_00029.ppm;120;115;11;10;109;105;40
00004_00000.ppm;37;39;5;6;32;34;40
00004_00001.ppm;37;39;5;6;32;34;40
00004_00002.ppm;40;40;6;6;35;35;40
00004_00003.ppm;41;41;6;6;36;36;40
00004_00004.ppm;42;41;6;5;37;36;40
00004_00005.ppm;43;43;6;6;38;38;40
00004_00006.ppm;44;43;6;5;39;38;40
00004_00007.ppm;46;46;6;6;41;41;40
00004_00008.ppm;46;47;5;6;41;41;40
00004_00009.ppm;49;47;6;5;44;42;40
00004_00010.ppm;50;50;6;5;45;45;40
00004_00011.ppm;52;51;6;5;47;46;40
00004_00012.ppm;52;54;5;6;47;49;40
00004_00013.ppm;53;56;5;6;48;51;40
00004_00014.ppm;56;56;5;5;50;51;40
00004_00015.ppm;58;57;6;5;53;52;40
00004_00016.ppm;60;61;5;6;54;55;40
00004_00017.ppm;62;65;5;6;57;60;40
00004_00018.ppm;69;70;7;7;63;64;40
00004_00019.ppm;71;73;6;7;65;67;40
00004_00020.ppm;74;75;7;7;67;68;40
00004_00021.ppm;79;81;7;8;72;74;40
00004_00022.ppm;84;82;8;7;77;75;40
00004_00023.ppm;88;87;8;8;81;80;40
00004_00024.ppm;93;93;8;9;85;85;40
00004_00025.ppm;106;98;9;8;97;90;40
00004_00026.ppm;110;105;9;10;101;96;40
00004_00027.ppm;117;110;10;10;107;100;40
00004_00028.ppm;123;116;10;11;112;106;40
00004_00029.ppm;135;128;11;12;124;117;40
00005_00000.ppm;50;51;5;6;45;46;40
00005_00001.ppm;51;51;5;5;46;46;40
00005_00002.ppm;53;53;6;6;48;48;40
00005_00003.ppm;53;52;5;5;48;47;40
00005_00004.ppm;55;52;6;5;50;47;40
00005_00005.ppm;56;56;5;6;51;51;40
00005_00006.ppm;57;57;5;6;52;52;40
00005_00007.ppm;60;60;6;6;55;55;40
00005_00008.ppm;60;61;5;6;55;56;40
00005_00009.ppm;62;62;5;5;57;57;40
00005_00010.ppm;63;63;5;5;58;58;40
00005_00011.ppm;67;68;6;7;61;62;40
00005_00012.ppm;68;69;6;7;62;63;40
00005_00013.ppm;69;69;7;7;63;63;40
00005_00014.ppm;71;71;7;6;65;65;40
00005_00015.ppm;74;72;6;6;68;66;40
00005_00016.ppm;76;75;7;7;70;69;40
00005_00017.ppm;76;75;7;6;70;69;40
00005_00018.ppm;80;76;7;6;73;70;40
00005_00019.ppm;82;81;7;7;75;74;40
00005_00020.ppm;85;85;7;8;78;78;40
00005_00021.ppm;88;85;8;7;81;78;40
00005_00022.ppm;93;88;9;7;85;81;40
00005_00023.ppm;98;93;9;9;90;85;40
00005_00024.ppm;100;98;8;9;92;90;40
00005_00025.ppm;107;104;9;10;98;95;40
00005_00026.ppm;111;108;9;10;102;99;40
00005_00027.ppm;117;108;11;9;107;99;40
00005_00028.ppm;123;117;10;10;113;107;40
00005_00029.ppm;131;122;12;11;120;112;40
00006_00000.ppm;35;35;6;6;30;30;40
00006_00001.ppm;35;35;6;5;30;29;40
00006_00002.ppm;38;37;6;5;33;32;40
00006_00003.ppm;39;38;6;5;34;33;40
00006_00004.ppm;39;40;5;6;34;35;40
00006_00005.ppm;40;39;6;5;35;34;40
00006_00006.ppm;40;40;5;5;35;35;40
00006_00007.ppm;42;43;6;6;37;37;40
00006_00008.ppm;43;44;5;6;37;38;40
00006_00009.ppm;43;45;5;6;38;39;40
00006_00010.ppm;46;46;6;6;40;40;40
00006_00011.ppm;47;46;5;5;41;41;40
00006_00012.ppm;48;49;5;6;42;43;40
00006_00013.ppm;50;50;5;5;45;45;40
00006_00014.ppm;52;53;5;6;47;48;40
00006_00015.ppm;54;54;5;5;49;49;40
00006_00016.ppm;55;56;5;6;50;51;40
00006_00017.ppm;57;58;5;6;52;53;40
00006_00018.ppm;62;61;6;5;56;56;40
00006_00019.ppm;64;65;5;6;59;60;40
00006_00020.ppm;69;69;6;7;63;63;40
00006_00021.ppm;72;72;6;7;66;66;40
00006_00022.ppm;76;74;7;6;70;68;40
00006_00023.ppm;84;84;7;8;76;76;40
00006_00024.ppm;92;89;9;8;84;82;40
00006_00025.ppm;96;96;8;9;88;88;40
00006_00026.ppm;105;104;10;10;96;95;40
00006_00027.ppm;113;110;10;9;103;101;40
00006_00028.ppm;124;123;10;11;114;113;40
00006_00029.ppm;144;141;13;12;132;129;40
00007_00000.ppm;26;26;6;5;21;20;40
00007_00001.ppm;26;26;5;5;21;21;40
00007_00002.ppm;28;28;6;6;23;23;40
00007_00003.ppm;28;28;5;5;23;23;40
00007_00004.ppm;29;30;5;6;24;25;40
00007_00005.ppm;30;30;6;6;25;25;40
00007_00006.ppm;29;30;5;6;24;25;40
00007_00007.ppm;30;30;5;5;25;25;40
00007_00008.ppm;31;31;6;6;26;26;40
00007_00009.ppm;33;32;5;5;27;27;40
00007_00010.ppm;35;34;6;5;30;29;40
00007_00011.ppm;35;35;6;6;30;30;40
00007_00012.ppm;36;36;6;5;31;30;40
00007_00013.ppm;38;38;6;6;33;33;40
00007_00014.ppm;37;37;6;5;32;32;40
00007_00015.ppm;36;39;5;5;31;33;40
00007_00016.ppm;39;41;5;5;34;35;40
00007_00017.ppm;41;43;6;6;36;38;40
00007_00018.ppm;43;45;6;6;38;40;40
00007_00019.ppm;45;47;5;6;40;41;40
00007_00020.ppm;47;48;5;5;42;43;40
00007_00021.ppm;49;51;6;5;44;46;40
00007_00022.ppm;54;56;6;6;49;51;40
00007_00023.ppm;57;58;6;6;52;53;40
00007_00024.ppm;59;64;5;5;54;58;40
00007_00025.ppm;65;70;6;6;60;64;40
00007_00026.ppm;73;76;7;6;67;70;40
00007_00027.ppm;80;87;7;8;73;80;40
