Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;27;27;6;6;21;22;38
00000_00001.ppm;27;28;6;6;22;23;38
00000_00002.ppm;26;27;5;5;20;22;38
00000_00003.ppm;27;28;5;5;22;23;38
00000_00004.ppm;28;29;6;6;23;24;38
00000_00005.ppm;29;30;6;6;24;25;38
00000_00006.ppm;28;28;6;5;23;23;38
00000_00007.ppm;30;30;6;5;24;25;38
00000_00008.ppm;32;34;5;5;26;28;38
00000_00009.ppm;33;36;5;6;28;31;38
00000_00010.ppm;34;34;6;6;29;29;38
00000_00011.ppm;35;35;6;6;30;30;38
00000_00012.ppm;37;37;5;6;31;32;38
00000_00013.ppm;38;39;5;6;33;34;38
00000_00014.ppm;40;41;5;6;34;36;38
00000_00015.ppm;41;43;5;6;36;38;38
00000_00016.ppm;43;43;5;5;38;38;38
00000_00017.ppm;46;46;6;6;41;41;38
00000_00018.ppm;48;47;6;5;42;41;38
00000_00019.ppm;48;48;6;6;42;42;38
00000_00020.ppm;51;51;5;5;45;45;38
00000_00021.ppm;54;53;5;5;48;48;38
00000_00022.ppm;58;58;6;5;53;53;38
00000_00023.ppm;59;60;5;5;54;55;38
00000_00024.ppm;63;64;5;5;58;59;38
00000_00025.ppm;71;72;7;7;65;66;38
00000_00026.ppm;76;79;6;7;70;72;38
00000_00027.ppm;84;87;7;8;77;80;38
00000_00028.ppm;106;101;10;9;97;92;38
00000_00029.ppm;119;112;11;10;109;103;38
00001_00000.ppm;27;35;5;6;22;30;38
00001_00001.ppm;28;36;5;6;23;31;38
00001_00002.ppm;31;37;6;5;25;31;38
00001_00003.ppm;31;39;5;6;25;33;38
00001_00004.ppm;31;38;5;5;26;33;38
00001_00005.ppm;32;39;5;5;27;34;38
00001_00006.ppm;34;40;6;5;29;35;38
00001_00007.ppm;35;40;6;5;29;35;38
00001_00008.ppm;34;42;5;5;29;37;38
00001_00009.ppm;35;44;5;6;29;38;38
00001_00010.ppm;36;45;6;5;31;39;38
00001_00011.ppm;36;44;5;5;31;39;38
00001_00012.ppm;36;46;5;5;31;41;38
00001_00013.ppm;38;49;6;6;33;44;38
00001_00014.ppm;38;50;5;5;33;45;38
00001_00015.ppm;40;53;6;6;35;48;38
00001_00016.ppm;41;55;5;6;36;50;38
00001_00017.ppm;43;57;5;6;38;52;38
00001_00018.ppm;46;58;6;5;41;53;38
00001_00019.ppm;48;59;6;5;42;54;38
00001_00020.ppm;50;64;6;6;45;59;38
00001_00021.ppm;53;69;6;6;48;63;38
00001_00022.ppm;54;72;5;6;49;66;38
00001_00023.ppm;57;75;6;6;52;69;38
00001_00024.ppm;62;83;6;7;56;75;38
00001_00025.ppm;67;86;6;7;61;79;38
00001_00026.ppm;74;97;6;9;68;88;38
00001_00027.ppm;82;105;8;10;75;96;38
00001_00028.ppm;92;115;8;10;84;105;38
00001_00029.ppm;99;128;8;11;91;116;38
00002_00000.ppm;37;36;6;5;32;31;38
00002_00001.ppm;37;36;6;5;32;31;38
00002_00002.ppm;37;37;5;5;32;32;38
00002_00003.ppm;37;38;5;5;32;32;38
00002_00004.ppm;38;40;5;6;33;35;38
00002_00005.ppm;39;38;6;5;34;33;38
00002_00006.ppm;38;38;6;6;33;33;38
00002_00007.ppm;38;38;5;5;33;33;38
00002_00008.ppm;38;39;5;5;33;33;38
00002_00009.ppm;41;39;6;5;35;34;38
00002_00010.ppm;41;41;6;5;36;36;38
00002_00011.ppm;43;43;6;5;38;38;38
00002_00012.ppm;42;44;5;6;36;38;38
00002_00013.ppm;44;46;5;6;39;41;38
00002_00014.ppm;51;52;6;6;46;47;38
00002_00015.ppm;51;54;5;6;46;48;38
00002_00016.ppm;52;53;5;5;47;48;38
00002_00017.ppm;56;55;6;5;50;49;38
00002_00018.ppm;59;56;6;5;54;51;38
00002_00019.ppm;61;58;6;5;56;53;38
00002_00020.ppm;61;59;5;5;56;54;38
00002_00021.ppm;62;60;5;5;56;55;38
00002_00022.ppm;64;63;6;5;59;58;38
00002_00023.ppm;68;68;7;6;62;62;38
00002_00024.ppm;70;70;7;6;64;64;38
00002_00025.ppm;71;72;6;6;65;65;38
00002_00026.ppm;76;76;6;6;70;70;38
00002_00027.ppm;83;83;8;8;76;76;38
00002_00028.ppm;85;87;8;8;78;79;38
00002_00029.ppm;90;92;8;9;82;84;38
00003_00000.ppm;37;37;6;5;32;32;38
00003_00001.ppm;37;38;6;5;32;32;38
00003_00002.ppm;37;38;5;5;31;32;38
00003_00003.ppm;39;40;6;6;33;34;38
00003_00004.ppm;38;40;5;5;32;34;38
00003_00005.ppm;40;41;6;6;34;36;38
00003_00006.ppm;39;41;5;6;33;36;38
00003_00007.ppm;40;41;6;5;35;35;38
00003_00008.ppm;40;43;5;6;35;38;38
00003_00009.ppm;42;43;6;5;36;37;38
00003_00010.ppm;42;43;6;5;37;38;38
00003_00011.ppm;43;45;6;6;37;39;38
00003_00012.ppm;42;44;5;5;37;38;38
00003_00013.ppm;42;44;5;6;37;39;38
00003_00014.ppm;42;44;5;5;37;38;38
00003_00015.ppm;44;45;5;5;38;39;38
00003_00016.ppm;45;48;5;6;39;42;38
00003_00017.ppm;47;48;6;6;41;43;38
00003_00018.ppm;48;51;5;6;42;46;38
00003_00019.ppm;49;51;5;5;43;46;38
00003_00020.ppm;50;52;5;5;44;46;38
00003_00021.ppm;51;53;6;6;46;48;38
00003_00022.ppm;53;54;6;5;47;48;38
00003_00023.ppm;54;57;5;6;49;52;38
00003_00024.ppm;58;58;6;5;52;53;38
00003_00025.ppm;58;60;5;6;53;55;38
00003_00026.ppm;61;62;6;5;56;57;38
00003_00027.ppm;63;67;5;6;58;61;38
00003_00028.ppm;69;71;7;7;63;65;38
00003_00029.ppm;72;73;7;7;65;67;38
00004_00000.ppm;29;28;6;5;24;23;38
00004_00001.ppm;29;28;6;5;24;23;38
00004_00002.ppm;30;29;6;5;25;24;38
00004_00003.ppm;29;31;5;6;24;26;38
00004_00004.ppm;31;32;6;5;25;26;38
00004_00005.ppm;30;34;5;6;25;28;38
00004_00006.ppm;31;34;6;6;26;29;38
00004_00007.ppm;31;34;5;5;25;28;38
00004_00008.ppm;33;35;6;6;27;30;38
00004_00009.ppm;32;36;5;6;27;31;38
00004_00010.ppm;33;36;5;5;28;31;38
00004_00011.ppm;35;36;6;5;29;31;38
00004_00012.ppm;34;37;5;5;29;32;38
00004_00013.ppm;35;37;5;5;30;32;38
00004_00014.ppm;36;37;5;5;30;32;38
00004_00015.ppm;37;39;6;5;32;33;38
00004_00016.ppm;38;39;6;5;33;34;38
00004_00017.ppm;40;43;6;5;35;37;38
00004_00018.ppm;41;45;6;6;36;40;38
00004_00019.ppm;42;46;5;6;37;41;38
00004_00020.ppm;44;46;6;5;39;41;38
00004_00021.ppm;45;47;6;5;40;42;38
00004_00022.ppm;46;49;5;5;41;44;38
00004_00023.ppm;49;53;6;6;44;48;38
00004_00024.ppm;51;54;6;5;46;49;38
00004_00025.ppm;56;60;5;6;51;55;38
00004_00026.ppm;59;63;6;5;54;58;38
00004_00027.ppm;62;69;5;7;57;63;38
00004_00028.ppm;69;72;7;6;63;66;38
00004_00029.ppm;76;82;7;8;70;75;38
00005_00000.ppm;26;26;6;5;21;20;38
00005_00001.ppm;26;27;5;5;21;22;38
00005_00002.ppm;27;28;6;5;22;23;38
00005_00003.ppm;28;29;6;5;23;24;38
00005_00004.ppm;27;29;5;5;22;24;38
00005_00005.ppm;30;31;6;5;25;26;38
00005_00006.ppm;29;32;5;6;24;27;38
00005_00007.ppm;30;34;5;6;25;29;38
00005_00008.ppm;32;34;6;5;26;28;38
00005_00009.ppm;33;35;5;5;28;29;38
00005_00010.ppm;35;35;6;5;30;30;38
00005_00011.ppm;35;35;5;5;29;30;38
00005_00012.ppm;36;36;6;6;31;31;38
00005_00013.ppm;36;36;6;5;31;30;38
00005_00014.ppm;36;37;5;5;31;32;38
00005_00015.ppm;38;39;5;5;33;34;38
00005_00016.ppm;40;42;6;6;35;36;38
00005_00017.ppm;40;42;6;5;35;36;38
00005_00018.ppm;42;43;6;5;37;38;38
00005_00019.ppm;43;42;6;5;38;37;38
00005_00020.ppm;47;46;6;5;42;41;38
00005_00021.ppm;49;50;5;5;44;45;38
00005_00022.ppm;52;52;6;5;47;47;38
00005_00023.ppm;54;55;5;5;48;50;38
00005_00024.ppm;56;58;5;5;51;53;38
00005_00025.ppm;59;62;5;6;53;56;38
00005_00026.ppm;63;67;6;6;57;61;38
00005_00027.ppm;68;73;7;7;62;67;38
00005_00028.ppm;70;75;6;6;64;69;38
00005_00029.ppm;78;85;7;8;71;78;38
00006_00000.ppm;55;71;2;7;50;65;38
00006_00001.ppm;61;73;6;6;56;67;38
00006_00002.ppm;61;73;6;6;56;67;38
00006_00003.ppm;61;73;6;6;56;67;38
00006_00004.ppm;61;75;5;7;55;68;38
00006_00005.ppm;61;75;5;7;56;69;38
00006_00006.ppm;62;74;6;6;57;67;38
00006_00007.ppm;62;73;6;6;57;67;38
00006_00008.ppm;60;75;5;6;55;69;38
00006_00009.ppm;62;77;6;7;56;70;38
00006_00010.ppm;63;76;6;6;57;70;38
00006_00011.ppm;63;77;5;6;57;70;38
00006_00012.ppm;64;80;5;7;59;73;38
00006_00013.ppm;65;80;6;7;60;73;38
00006_00014.ppm;65;82;6;8;60;75;38
00006_00015.ppm;65;81;6;7;60;74;38
00006_00016.ppm;69;83;7;8;63;76;38
00006_00017.ppm;70;84;7;8;64;77;38
00006_00018.ppm;71;85;7;8;65;78;38
00006_00019.ppm;71;86;7;8;65;79;38
00006_00020.ppm;72;88;7;8;65;81;38
00006_00021.ppm;72;88;7;8;66;81;38
00006_00022.ppm;73;91;7;8;66;83;38
00006_00023.ppm;73;94;7;9;67;85;38
00006_00024.ppm;73;94;6;8;67;86;38
00006_00025.ppm;74;95;7;9;68;87;38
00006_00026.ppm;74;94;7;8;68;86;38
00006_00027.ppm;74;96;6;8;68;88;38
00006_00028.ppm;75;98;6;9;69;90;38
00006_00029.ppm;76;97;7;8;69;89;38
00007_00000.ppm;32;32;6;5;27;27;38
00007_00001.ppm;32;32;6;5;27;27;38
00007_00002.ppm;31;33;5;6;26;28;38
00007_00003.ppm;31;32;5;5;26;27;38
00007_00004.ppm;33;32;6;5;27;27;38
00007_00005.ppm;32;35;5;6;27;29;38
00007_00006.ppm;33;35;5;5;28;30;38
00007_00007.ppm;35;37;5;6;29;32;38
00007_00008.ppm;35;38;5;6;30;33;38
00007_00009.ppm;36;37;5;5;30;32;38
00007_00010.ppm;37;39;6;5;32;33;38
